,PCA_PLAIN
2021-01-05,0.01121866469454286
2021-01-06,0.00404547716526132
2021-01-07,-0.0024299248969793397
2021-01-08,0.0011719935759552198
2021-01-12,-0.00916167073999004
2021-01-13,-0.004685039159439021
2021-01-14,0.00015046327859176162
2021-01-15,0.00047077057576100194
2021-01-19,-0.00612598100766688
2021-01-20,-0.0008658423069742207
2021-01-21,0.0034039180122873406
2021-01-22,0.0018251978585964398
2021-01-25,-0.0024155837663740205
2021-01-26,0.0031614909428804797
2021-01-27,0.00227034936284172
2021-01-28,0.004642353105277138
2021-01-29,-0.0022006710395113815
2021-02-01,-0.001234009981749661
2021-02-02,-0.00847502316652016
2021-02-03,-0.01668047883956636
2021-02-04,0.0013466636173465397
2021-02-05,-0.00893956974795722
2021-02-08,-0.0001543276019649615
2021-02-09,-0.004331423074322681
2021-02-10,-0.00809425782818706
2021-02-12,0.007816047193958679
2021-02-16,0.00835542848546636
2021-02-17,0.0032294384486156996
2021-02-18,-0.012801998180196464
2021-02-19,0.0029982165306609598
2021-02-22,0.009436003849483999
2021-02-24,0.014554300688761899
2021-02-25,-0.00529965900573392
2021-02-26,-0.00782886099461712
2021-03-01,-0.009124356069240358
2021-03-02,-0.0031883418289834
2021-03-03,0.0024699918498233
2021-03-04,0.0023595598309272396
2021-03-05,0.0019597301091303816
2021-03-08,0.0045007207421819
2021-03-09,0.00938932836010984
2021-03-10,-0.00260730830905508
2021-03-11,-0.0021909226538714384
2021-03-12,0.006983716621821042
2021-03-15,0.005989228862870401
2021-03-16,0.0005245259113852005
2021-03-17,-0.0036365831650409007
2021-03-18,0.0040302408829147995
2021-03-19,-0.0005245440903369585
2021-03-22,0.003752599534992681
2021-03-23,0.010345685403123398
2021-03-24,-0.0022481316260557233
2021-03-25,-0.0015756001648011622
2021-03-26,-0.0015626739860857995
2021-03-29,-0.005751900985129899
2021-03-30,-0.012325832021130162
2021-03-31,0.00494735911758822
2021-04-01,0.006638244574084241
2021-04-05,0.00798846877021404
2021-04-06,-0.008536467112954537
2021-04-07,0.0018959492088365002
2021-04-08,0.007416579216025041
2021-04-09,-0.00157832810276676
2021-04-12,0.0045628339156918015
2021-04-13,0.00416431946549282
2021-04-14,0.0008739478366439199
2021-04-15,0.00086788412700246
2021-04-16,-0.0005567791149075603
2021-04-19,0.0033348792235606403
2021-04-20,-0.0035646948035822183
2021-04-21,0.001959212421269961
2021-04-22,0.00519128669489938
2021-04-23,3.2817799327598124e-06
2021-04-26,0.0030228724531042002
2021-04-27,0.0024173276909543184
2021-04-28,-0.0027560748768277405
2021-04-30,-0.0017429687120024805
2021-05-06,0.0006704392169376407
2021-05-07,-0.007540855442684919
2021-05-10,-0.0057326957429915185
2021-05-11,0.004576144063680444
2021-05-12,-0.004363165195789298
2021-05-13,0.0075184093732778194
2021-05-14,-0.002517655180638319
2021-05-17,0.01119077382559118
2021-05-18,0.0009638115681111798
2021-05-19,-0.0010958267728971203
2021-05-20,-0.012267465466444461
2021-05-21,-0.0011983275558919582
2021-05-24,0.0013036210607820812
2021-05-25,-0.010852535980183119
2021-05-26,-0.00887071053902388
2021-05-27,0.007981364785884739
2021-05-28,-0.0006439959039717183
2021-06-01,-0.00108531724532242
2021-06-02,-0.0027466491715874
